School Name,1st,2nd,3rd,4th,5th
Stanford University,Computer Science,Biology,Mechanical Engineering ,Economics,Psychology
California Institute of Technology (CIT),Computer Science,Physics ,Electrical Engineering,Chemical Engineering,Mechanical Engineering 
Harvey Mudd College,Mechanical Engineering,Computer Science ,Physics ,Math,Chemistry 
"University of California, Berkeley",Economics,Computer Science ,Biology,Political Science,Business Management 
Occidental College,Economics,International Relations,Biology,Math,Sociology
Cal Poly San Luis Obispo,Business Management,Mechanical Engineering,Biology,Civil Engineering,Computer Science 
University of California at Los Angeles (UCLA),Economics,Political Science,Sociology,Biology,Psychology
"University of California, San Diego (UCSD)",Computer Science,Economics,Biology,Math,Psychology
Pomona College,Economics,Math,Computer Science,Psychology,Physics
University of Southern California (USC),Business Management,Communications,Biology,Accounting,International Relations
"University of California, Davis",Psychology,Economics,Computer Science,Communications,Biology
"University of California, Irvine (UCI)",Psychology,Biology,Computer Science,Economics,Health Care Administration
San Jose State University (SJSU),Business Management,Psychology,Education,Communications,Computer Science 
"University of California, Santa Barbara (UCSB)",Sociology,Economics,Psychology,Communications,International Relations
"California State University (CSU), Chico",Business Management,Communications,Psychology,Health Care Administration,Education
"California State University, Fullerton (CSUF)",Business Management,Communications,Psychology,Health Care Administration,Education
San Francisco State University (SFSU),Business Management,Biology,Psychology,Communications,Criminal Justice
San Diego State University (SDSU),Business Management,Psychology,Education,Criminal Justice,Communications
"California State University, Long Beach (CSULB)",Business Management,Psychology,Communications,Sociology,Education
"California State University, East Bay (CSUEB)",Business Management,Health Care Administration,Criminal Justice,Psychology,Sociology
"University of California, Santa Cruz (UCSC)",Computer Science,Psychology,Economics,Sociology,Biology
"California State University, Sacramento (CSUS)",Business Management,Communications,Psychology,Criminal Justice,Education
"University of California, Riverside (UCR)",Business Management,Biology,Psychology,Sociology,Economics
"California State University, Northridge (CSUN)",Psychology,Business Management,Sociology,Education,Film
"California State University, Dominguez Hills (CSUDH)",Business Management,Psychology,Sociology,Criminal Justice,Health Care Administration
"California State University (CSU), Stanislaus",Business Management,Psychology,Criminal Justice,Sociology,Education
Humboldt State University,Biology,Business Management,Psychology,Education,Forestry
Thomas Aquinas College,Criminal Justice,Psychology,Business Management,Education,Biology
Colorado School of Mines,Mechanical Engineering,Computer Science ,Chemical Engineering,Physics ,Electrical Engineering
University of Colorado - Boulder (UCB),Economics,Computer Science ,Biology,Political Science,Business Management 
New Mexico Institute of Mining and Technology (New Mexico Tech),Mechanical Engineering,Chemical Engineering,Computer Science,Electrical Engineering,Biology
Brigham Young University (BYU),Psychology,Nutrition,Accounting,Economics,Education
University of Arizona,Psychology,Biology,Communications,Health Care Administration,Economics
University of Washington (UW),Psychology,Communications,Political Science,Finance,Biology
Washington State University (WSU),Psychology,Nursing,Sociology,Mechanical Engineering,Accounting
University of Colorado - Denver,Business Management,Nursing,Biology,Economics,Psychology
Arizona State University (ASU),Business Management,Psychology,Biology,Finance,Marketing
Oregon State University (OSU),Computer Science,Business Management,Mechanical Engineering ,Psychology,Biology
University of Utah,Communications,Psychology,Economics,Business Management,Nutrition
"University of Nevada, Reno (UNR)",Nutrition,Biology,Psychology,Business Management,Criminal Justice
Seattle University,Nursing,Finance,Marketing,Psychology,Accounting
University of Idaho,Psychology,Mechanical Engineering,Marketing,Finance,Business Management 
University of New Mexico (UNM),Business Management,Psychology,Nursing,Biology,Criminal Justice
University of Puget Sound,Business Management,Psychology,Biology,International Relations,Political Science 
Colorado College (CC),Economics,Political Science,Biology,Sociology,Physics
Reed College,Psychology,Biology,English,Physics ,History
