School Name,Type,Region,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Adelphi University,Private,Northeastern,NY,-73.653321,40.721439,40600,79200,44200,54800,114000,160000,Nursing,Biology,Business Management,Psychology,Nutrition
"American University, Washington D.C.",Private,Southern,DC,-77.088947,38.93694264,45300,90800,45200,62400,134000,169000,International Relations,Business Management,Political Science,International Relations,Economics
Amherst College,Liberal Arts,Northeastern,MA,-72.518493,42.372459,54500,107000,,84900,162000,,Math,Economics,English,Psychology,Political Science
Appalachian State University,State,Southern,NC,-81.67752,36.2126825,40400,69100,37200,50400,90800,115000,Psychology,Nutrition,Nursing,Business Management,Education
Arizona State University (ASU),Party,Western,AZ,-111.928001,33.424564,47400,84100,44600,60700,114000,163000,Business Management,Psychology,Biology,Finance,Marketing
Arkansas State University (ASU),State,Southern,AR,-90.679586,35.841082,38700,63300,33600,45300,83900,118000,Nursing,Business Management,Biology,Education,Nutrition
Auburn University,State,Southern,AL,-85.492409,32.600201,45400,84700,45400,62700,109000,145000,Biology,Mechanical Engineering,Business Management,Nutrition,Finance
Austin Peay State University,State,Southern,TN,-87.354081,36.5333193,37700,59200,32200,40500,73900,96200,Education,Nursing,Criminal Justice,Psychology,Business Management
Ball State University (BSU),State,Midwestern,IN,-85.408777,40.19996994,39100,64500,35500,48200,89300,128000,Communications,Psychology,Nursing,Business Management,Education
Bates College,Liberal Arts,Northeastern,ME,-70.203333,44.10529918,47300,96500,,60700,162000,,Economics,Political Science,Psychology,Biology,Sociology
Baylor University,Private,Southern,TX,-97.118453,31.54614957,48300,88600,46300,60700,130000,200000,Biology,Nursing,Accounting,Marketing,Business Management
Binghamton University,State,Northeastern,NY,-75.971143,42.088049,53600,95900,50900,71200,146000,201000,Economics,Psychology,Biology,Accounting,Nursing
Black Hills State University,State,Midwestern,SD,-103.871756,44.49514137,35300,43900,27000,32200,60900,87600,Business Management,Education,Biology,Sociology,Communications
Boise State University (BSU),State,Western,ID,-116.205789,43.60440317,40800,69500,37400,48700,87500,110000,Business Management,Nursing,Communications,Health Care Administration,Psychology
Boston College,Private,Northeastern,MA,-71.169242,42.33620322,52700,103000,48900,70000,143000,195000,Economics,Finance,Psychology,Communications,Biology
