School Name,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Adelphi University,NY,-73.653321,40.721439,"$40,600 ","$79,200 ","$44,200 ","$54,800 ","$114,000 ","$160,000 ",Nursing,Biology,Business Management,Psychology,Nutrition
"American University, Washington D.C.",DC,-77.088947,38.93694264,"$45,300 ","$90,800 ","$45,200 ","$62,400 ","$134,000 ","$169,000 ",International Relations,Business Management,Political Science,International Relations,Economics
Amherst College,MA,-72.518493,42.372459,"$54,500 ","$107,000 ",,"$84,900 ","$162,000 ",,Math,Economics,English,Psychology,Political Science
Appalachian State University,NC,-81.67752,36.2126825,"$40,400 ","$69,100 ","$37,200 ","$50,400 ","$90,800 ","$115,000 ",Psychology,Nutrition,Nursing,Business Management,Education
Arizona State University (ASU),AZ,-111.928001,33.424564,"$47,400 ","$84,100 ","$44,600 ","$60,700 ","$114,000 ","$163,000 ",Business Management,Psychology,Biology,Finance,Marketing
Arkansas State University (ASU),AR,-90.679586,35.841082,"$38,700 ","$63,300 ","$33,600 ","$45,300 ","$83,900 ","$118,000 ",Nursing,Business Management,Biology,Education,Nutrition
Auburn University,AL,-85.492409,32.600201,"$45,400 ","$84,700 ","$45,400 ","$62,700 ","$109,000 ","$145,000 ",Biology,Mechanical Engineering,Business Management,Nutrition,Finance
Austin Peay State University,TN,-87.354081,36.5333193,"$37,700 ","$59,200 ","$32,200 ","$40,500 ","$73,900 ","$96,200 ",Education,Nursing,Criminal Justice,Psychology,Business Management
Ball State University (BSU),IN,-85.408777,40.19996994,"$39,100 ","$64,500 ","$35,500 ","$48,200 ","$89,300 ","$128,000 ",Communications,Psychology,Nursing,Business Management,Education
Bates College,ME,-70.203333,44.10529918,"$47,300 ","$96,500 ",,"$60,700 ","$162,000 ",,Economics,Political Science,Psychology,Biology,Sociology
Baylor University,TX,-97.118453,31.54614957,"$48,300 ","$88,600 ","$46,300 ","$60,700 ","$130,000 ","$200,000 ",Biology,Nursing,Accounting,Marketing,Business Management 
